ts,open,high,low,close,volume,trades,longOpenInterest,shortOpenInterest,profit,loss,profitCumulative,lossCumulative
2021-09-01,47140.0,49137.3,46550.0,48872.2,2575.08182011,27098,92717725938052721233410259750700000,7388481208312814887484874027400000,38604355898400802027263311694,4345384686266744326997789607904,38604355898400802027263311694,4345384686266744326997789607904
2021-09-02,48872.1,50372.9,48622.0,49290.3,3436.6645161701,29051,107795652416283990027652511639690000,98097358709656412734374291770290000,94276552481598539857311762240000,611172085403821542530495648129012,94315156837496940659339025551694,615517470090088286857493437736916
2021-09-03,49290.2,51009.7,48356.0,50018.6,3628.82427331,32971,921125698999332279248652291924360000,113978968591436550848318010388560000,26354638750258897452716278575185753,995697199230039504427424906520000,26448953907096394393375617600737447,1611214669320127791284918344256916
2021-09-04,50022.9,50559.5,49363.6,49956.1,1604.31873364,18255,926117881730374984285022886913720000,74090572673652766232555509978160000,1933887116967996513008357160000,587152475166495805786945516830000,26450887794213362389888625957897447,2198367144486623597071863861086916
2021-09-05,49956.1,51890.9,49512.4,51767.9,1807.72703411,20108,1148802440164388688206720277269160000,49848952422561327679331882860160000,1274591764380702776096070529750000,65301145160084690425505429746100,27725479558594065165984696487647447,2263668289646708287497369290833016
2021-09-06,51768.0,52800.0,51025.5,52688.3,2979.38538145,24452,1610150651317620460519912881995880000,50425113768329854459331882860160000,2979282738767279099626736317070000,106739798064486492674766367315247,30704762297361344265611432804717447,2370408087711194780172135658148263
2021-09-07,52688.2,52900.0,42000.0,46882.1,8797.5533727708,80423,1678783374782903348986305055041300000,1551882188972607176700610084000000,82815205600564727909648604960554306,142333932969139120312272143641583216,113519967897926072175260037765271753,144704341056850315092444279299731479
2021-09-08,46889.5,47362.4,44444.0,46073.4,3486.8708239101,33739,963461481019842697410970310619930000,1276621241503999708127070000000000,65466527390825663411126501918919460,19099881532849605969592751597925041,178986495288751735586386539684191213,163804222589699921062037030897656520
2021-09-09,46064.3,47399.0,45498.7,46389.6,2328.76679262,27076,955693465860243662701786872436870000,10447783298757760017713431187520000,3855275172134753247350247915735606,902775942036652354281198513375361,182841770460886488833736787599926819,164706998531736573416318229411031881
2021-09-10,46389.7,47035.8,44135.2,44842.2,3303.07297039,30895,866455022155716584593199824430100000,182451342001238192463270094890120000,4356734640232605643744324156769027,29138270707269860430472905372514438,187198505101119094477481111756695846,193845269239006433846791134783546319
2021-09-11,44842.2,45992.4,44741.0,45137.4,1239.97337633,15443,1524332695037616351606041034878640000,67461102961372344645658883835730000,4617329986154790646755465286273021,5466887437923689086916213674838267,191815835087273885124236577042968867,199312156676930122933707348458384586
2021-09-12,45148.8,46487.9,44770.0,46061.3,1202.06666163,16876,1690770529968256377377392619432840000,12712191342439269770693407584260000,66459426899503201283733737015207324,22555530798343437813583444246051809,258275261986777086407970314058176191,221867687475273560747290792704436395
2021-09-13,46061.3,46879.0,43374.9,44965.8,3673.5190491901,35698,2561621050778419314415876718119000000,2744443305335764269815007625260000,31170829417876739375516420141736863,53215959391701058611936214654670044,289446091404653825783486734199913054,275083646866974619359227007359106439
2021-09-14,44965.8,47260.0,44700.0,47145.9,2114.13267011,24017,4231915751967900761722677451811350000,18352117987393840723408238444900000,22683635269734673669624077341618252,1161141446573367265962205649840990,312129726674388499453110811541531306,276244788313547986625189213008947429
2021-09-15,47110.5,48481.0,46744.0,48152.3,2160.39781268,23027,3908408515144716220631893847967870000,13797355909205311234110238690900000,97825972995759065734977033566751981,3756659708090181702426208054349244,409955699670147565188087845108283287,280001448021638168327615421063296673
2021-09-16,48152.3,48485.8,47030.1,47786.9,2372.97320098,22748,4233921545078537036025057830341380640,60289915637902746089993501173257000,57587995786549143431542718160630199,29664627294827526184174914612453125,467543695456696708619630563268913486,309666075316465694511790335675749798
2021-09-17,47786.9,48185.9,46745.7,47269.7,2007.83571876,20582,10467835074686365277714701673887780640,99433223880850495248268815283257000,6446149102632670253180342141526420,30239724959967413933753829976518357,473989844559329378872810905410439906,339905800276433108445544165652268155
2021-09-18,47269.7,48800.0,47077.9,48309.9,1277.08379196,15306,10996716908672627278203929336322560640,347327627154089733130251145180697000,60321371769884510949755008137197569,31858991031729869085945718615576937,534311216329213889822565913547637475,371764791308162977531489884267845092
2021-09-19,48306.9,48379.1,46851.2,47237.8,1219.51050215,14770,18802749234273215009253655973717520640,673515899323949362626337180313357000,20728446646652771009789280875029908,100813991703490255734691799284133322,555039662975866660832355194422667383,472578783011653233266181683551978414
2021-09-20,47247.3,47307.7,42510.0,42992.9,5755.7864731302,44520,15445854535784753847494878247251070640,1835144095167890333321501338200900000,82742983160835914563810799877174652,1459334765557915468683610877906821729,637782646136702575396165994299842035,1931913548569568701949792561458800143
2021-09-21,42992.9,43624.7,39579.0,40710.6,7261.1516045702,52940,7357782964965357707557626973922940000,1080750230932656499932045563755280000,121905439798622996808669503320858182,992347778738907654513099577507309374,759688085935325572204835497620700217,2924261327308476356462892138966109517
2021-09-22,40710.5,44024.2,40600.0,43562.8,3503.53780428,31271,9977583769236962454051664444081540000,254200658262891192128472748200900000,933849906964953098830775440115923044,58955701694182248702569358775635579,1693537992900278671035610937736623261,2983217029002658605165461497741745096
2021-09-23,43563.3,45000.0,43111.6,44889.8,4176.71154133,28456,12330259520531920453730426384081540000,363126368644049752869039569366290000,46103933961264842738677135556636024,30382679037845117765011276874003024,1739641926861543513774288073293259285,3013599708040503722930472774615748120
2021-09-24,44888.9,45153.0,40750.0,42833.2,4412.37782314,39431,8617714524410223077794663637915830000,554939143661730463432256797366290000,115315392907596263639994624312432427,389063946697362038840480431364695183,1854957319769139777414282697605691712,3402663654737865761770953205980443303
2021-09-25,42831.7,43021.7,41705.1,42710.1,1058.57183586,15077,8755847127350370261719654161389530000,449209760595660039636067229366290000,70301872692694369284306334875974737,88088757585185736696171114707534884,1925259192461834146698589032481666449,3490752412323051498467124320687978187
2021-09-26,42710.1,43930.4,40802.7,43204.6,2250.76323745,24215,7848919805148407058053489665683740000,719889525228813752827218669366290000,92063490089498981885026369907955460,95632071560431821158252781572327847,2017322682551333128583615402389621909,3586384483883483319625377102260306034
2021-09-27,43175.2,44333.0,42120.7,42176.3,1977.8996415899,21018,9936828564164808335964851820683740000,861479703777514375004210206366290000,33257398444572214159558455206125926,91330292818791960349598544612123481,2050580080995905342743173857595747835,3677714776702275279974975646872429515
